X,Y,Layer1
74.0,25.5,6.45019
74.5,25.5,5.8226027
75.0,25.5,5.708573
75.5,25.5,5.930885
76.0,25.5,5.596188
76.5,25.5,5.100712
77.0,25.5,5.2644334
77.5,25.5,5.3500457
78.0,25.5,5.3800406
78.5,25.5,5.168118
79.0,25.5,5.018709
79.5,25.5,5.0101376
80.0,25.5,5.0545545
80.5,25.5,4.813834
81.0,25.5,4.8978724
81.5,25.5,5.027709
82.0,25.5,5.098976
82.5,25.5,5.228005
83.0,25.5,5.410218
83.5,25.5,5.6828246
84.0,25.5,5.7168536
84.5,25.5,5.5327435
85.0,25.5,5.520119
85.5,25.5,5.6473365
86.0,25.5,5.7385807
86.5,25.5,5.8362417
87.0,25.5,5.753478
87.5,25.5,5.7397833
88.0,25.5,5.6926785
90.5,25.5,4.3531017
91.0,25.5,4.3848896
91.5,25.5,3.6673582
92.0,25.5,3.715843
92.5,25.5,4.445419
93.0,25.5,3.3409665
93.5,25.5,3.0241523
94.0,25.5,3.0846667
71.5,25.0,6.245505
72.0,25.0,6.727835
72.5,25.0,6.370859
73.0,25.0,5.879339
73.5,25.0,5.996126
74.0,25.0,5.65028
74.5,25.0,5.833067
75.0,25.0,5.9968357
75.5,25.0,6.1371
76.0,25.0,5.970414
76.5,25.0,5.3689656
77.0,25.0,5.5278063
77.5,25.0,5.483119
78.0,25.0,5.5878286
78.5,25.0,5.2283597
79.0,25.0,5.2272673
79.5,25.0,5.2335997
80.0,25.0,5.0618615
80.5,25.0,4.900366
81.0,25.0,4.8274407
81.5,25.0,4.761359
82.0,25.0,4.7566466
82.5,25.0,4.809684
83.0,25.0,5.0447297
83.5,25.0,5.19413
84.0,25.0,5.296473
84.5,25.0,5.189719
85.0,25.0,5.1797338
85.5,25.0,5.2527685
86.0,25.0,5.273717
86.5,25.0,5.272174
87.0,25.0,5.304055
87.5,25.0,5.4047885
93.0,25.0,3.857283
93.5,25.0,3.041421
94.0,25.0,3.5226927
71.5,24.5,6.713739
72.0,24.5,6.537093
72.5,24.5,5.7018514
73.0,24.5,5.1293464
73.5,24.5,6.025837
74.0,24.5,5.8926096
74.5,24.5,6.277755
75.0,24.5,6.708906
75.5,24.5,6.7375093
76.0,24.5,6.5630064
76.5,24.5,5.799248
77.0,24.5,5.748751
77.5,24.5,6.0009184
78.0,24.5,5.7758555
78.5,24.5,5.4684796
79.0,24.5,5.4874
79.5,24.5,5.359005
80.0,24.5,5.1781864
80.5,24.5,5.196906
81.0,24.5,4.963426
81.5,24.5,4.941476
82.0,24.5,4.7724843
82.5,24.5,4.5692496
83.0,24.5,4.4329834
83.5,24.5,4.7356215
84.0,24.5,4.609389
84.5,24.5,4.6694694
85.0,24.5,4.816476
85.5,24.5,5.16474
86.0,24.5,5.2646556
86.5,24.5,5.376995
87.0,24.5,5.404566
87.5,24.5,5.2833414
92.5,24.5,3.6056786
93.0,24.5,2.712521
93.5,24.5,3.665501
94.0,24.5,4.0106316
69.0,24.0,8.516285
71.5,24.0,6.934947
72.0,24.0,6.587171
72.5,24.0,6.075257
73.0,24.0,5.6573777
73.5,24.0,6.539625
74.0,24.0,5.882857
74.5,24.0,5.9574256
75.0,24.0,7.4873548
75.5,24.0,7.17334
76.0,24.0,7.0431557
76.5,24.0,6.3295727
77.0,24.0,6.1758256
77.5,24.0,6.3896065
78.0,24.0,6.116999
78.5,24.0,6.1448746
79.0,24.0,6.050741
79.5,24.0,5.6377716
80.0,24.0,5.658843
80.5,24.0,5.283243
81.0,24.0,5.1574926
81.5,24.0,4.914228
82.0,24.0,4.8268857
82.5,24.0,4.6517906
83.0,24.0,4.4390163
83.5,24.0,4.681627
84.0,24.0,4.24754
84.5,24.0,4.404997
85.0,24.0,5.1170077
85.5,24.0,5.385821
86.0,24.0,5.258799
86.5,24.0,5.305814
87.0,24.0,5.330864
87.5,24.0,5.325657
88.0,24.0,5.627654
92.5,24.0,4.0884275
93.0,24.0,3.3930163
68.5,23.5,7.7927437
69.0,23.5,7.9407587
69.5,23.5,8.04361
70.0,23.5,7.846441
70.5,23.5,7.8458767
71.0,23.5,7.9157915
71.5,23.5,7.3715
72.0,23.5,6.683415
72.5,23.5,6.334019
73.0,23.5,6.2813673
73.5,23.5,6.4616113
74.0,23.5,6.2732964
74.5,23.5,6.4303823
75.0,23.5,7.313129
75.5,23.5,7.325772
76.0,23.5,7.229643
76.5,23.5,6.5795617
77.0,23.5,6.5254903
77.5,23.5,6.450012
78.0,23.5,6.082212
78.5,23.5,6.063635
79.0,23.5,6.064413
79.5,23.5,5.678003
80.0,23.5,5.6729875
80.5,23.5,5.411874
81.0,23.5,5.0426645
81.5,23.5,4.8513293
82.0,23.5,4.8123574
82.5,23.5,4.8740187
83.0,23.5,4.613965
83.5,23.5,4.8026166
84.0,23.5,4.7864714
84.5,23.5,4.971768
85.0,23.5,5.5706897
85.5,23.5,5.236227
86.0,23.5,5.0192375
86.5,23.5,5.019444
87.0,23.5,5.1168633
87.5,23.5,5.35619
88.0,23.5,5.7820115
93.0,23.5,3.745497
68.0,23.0,7.32149
68.5,23.0,7.247793
69.0,23.0,7.493731
69.5,23.0,7.977053
70.0,23.0,8.024423
70.5,23.0,7.9181423
71.0,23.0,7.7287455
71.5,23.0,7.3955126
72.0,23.0,6.6230555
72.5,23.0,6.324992
73.0,23.0,6.479062
73.5,23.0,6.4383717
74.0,23.0,6.678475
74.5,23.0,6.593815
75.0,23.0,7.001025
75.5,23.0,7.359556
76.0,23.0,7.191028
76.5,23.0,6.495819
77.0,23.0,6.156828
77.5,23.0,6.0526857
78.0,23.0,6.001132
78.5,23.0,6.108872
79.0,23.0,5.9917216
79.5,23.0,5.947624
80.0,23.0,5.7619324
80.5,23.0,5.287896
81.0,23.0,5.142308
81.5,23.0,5.2027144
82.0,23.0,4.890301
82.5,23.0,4.4848733
83.0,23.0,4.8239193
83.5,23.0,5.174833
84.0,23.0,4.964614
84.5,23.0,4.9275727
85.0,23.0,5.0279813
85.5,23.0,4.6918716
86.0,23.0,4.3804345
86.5,23.0,5.1510673
87.0,23.0,5.2296824
87.5,23.0,5.5069637
88.0,23.0,5.9513645
68.0,22.5,7.127207
68.5,22.5,6.92054
69.0,22.5,7.176687
69.5,22.5,7.4607444
70.0,22.5,7.353327
70.5,22.5,7.1409655
71.0,22.5,7.2829866
71.5,22.5,7.259707
72.0,22.5,6.6096745
72.5,22.5,6.7008486
73.0,22.5,6.6159205
73.5,22.5,6.612043
74.0,22.5,6.6237416
74.5,22.5,6.7945905
75.0,22.5,6.60227
75.5,22.5,6.926325
76.0,22.5,6.454273
